"","users","evcent","in.degree","out.degree","total.degree","betweenness","transitivity","coreness","turnover","p","n","s","n.pull","n.issue","n.issue.c","n.pull.c","n.commit","n.interactions"
"48",14773,0,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,0,1
"49",21772,0.00196978332775553,1,1,1,0,NaN,1,FALSE,0,0,0,2,1,0,1,0,4
"50",108369,0.0583242008369153,60,60,60,21981.485318872,0.292655367231638,31,TRUE,0,0,0,34,0,18,26,34,112
"51",35866,0.0159207530014625,32,32,32,1077.53376120648,0.717741935483871,26,TRUE,0,0,0,9,0,7,8,1,25
"52",30452,0.00238294429775203,3,3,3,0,1,3,FALSE,0,0,0,1,0,0,1,1,3
"53",1037,0.00130714933160043,3,3,3,0,1,3,FALSE,0,0,0,2,0,0,0,1,3
"54",17034,0.0152066639846989,8,8,8,29.3677363862488,0.892857142857143,8,TRUE,0,0,0,5,1,1,6,3,16
"55",12577,0.00204231575645043,2,2,2,0,1,2,TRUE,0,0,0,1,0,0,3,3,7
"56",1979,0.244427596127822,700,700,700,512893.592733847,0.0355037809115062,50,TRUE,0,0,0,5,17,318,293,946,1579
"57",8659,0.00975725748409048,13,13,13,4392,0.846153846153846,12,FALSE,0,0,0,3,1,1,0,12,17
"58",294954,0.0573054304115923,96,96,96,33475.0206731746,0.180482456140351,31,TRUE,0,0,0,4,3,52,11,3,73
"59",13277,0.013805142404183,44,44,44,2057.26235548246,0.650105708245243,34,TRUE,0,0,0,1,0,2,3,0,6
"60",8467,0,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,0,1
"61",14978,0.00128894590609667,1,1,1,0,NaN,1,TRUE,0,0,0,1,0,0,0,5,6
"62",26935,0.00236141652850405,3,3,3,0,1,3,TRUE,0,0,0,1,0,0,2,2,5
"63",1284,0.0517331038623439,82,82,82,10878.8311719246,0.306534176452876,27,FALSE,0,0,0,7,3,14,6,2,32
"64",3483,0.0385584556607698,37,37,37,1623.39969656685,0.636636636636637,27,TRUE,0,0,0,3,2,6,1,2,14
"65",16111,0.00406024481697487,3,3,3,0,1,3,TRUE,0,0,0,4,1,1,3,88,97
"66",125005,0.0332160348203817,26,26,26,696.616564903138,0.649230769230769,17,TRUE,0,0,0,1,0,2,4,0,7
"67",88061,0.00127123674585561,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"68",91538,0.000643692598099554,1,1,1,0,NaN,1,FALSE,0,0,0,2,0,0,0,0,2
"69",445484,0.00196978332775552,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"70",21326,0.00127123674585561,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,1,2
"71",276834,0.0479348706121992,43,43,43,5309.01633498789,0.325581395348837,22,TRUE,0,0,0,6,0,10,1,6,23
"72",361912,0.00309674712927935,2,2,2,0,1,2,TRUE,0,0,0,5,0,0,1,0,6
"73",4138,0.00142038623487985,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,1,2,4
"74",100999,0.00196978332775552,1,1,1,0,NaN,1,TRUE,0,0,0,7,2,0,2,5,16
"75",131752,0.00737619960250131,10,10,10,394.771525464554,0.6,8,FALSE,0,0,0,6,3,2,1,7,19
"76",62958,0.000530459441693077,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,1,1,3
"77",3614,0.00129798379902113,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,0,1,2
"78",386,0.038048888367539,29,29,29,2477.14880048015,0.460591133004926,20,TRUE,0,0,0,41,0,2,8,46,97
"79",29783,0.00225559249250183,3,3,3,35.6992989755329,0.333333333333333,3,TRUE,0,0,0,1,0,0,11,0,12
"80",347921,0.0334391870966515,43,43,43,4137.03859632469,0.353266888150609,22,TRUE,0,0,0,17,8,8,5,15,53
"81",5565,0.0191331562331391,14,14,14,4448.22407678057,0.362637362637363,9,TRUE,0,0,0,11,0,0,14,6,31
"82",10128,0.111968731895492,263,263,263,63565.3186740086,0.097262937915421,34,TRUE,0,0,0,31,0,42,60,24,157
"83",959,0.00128894590609667,1,1,1,0,NaN,1,FALSE,0,0,0,2,0,0,1,1,4
"84",125900,0.0114416626577333,21,21,21,861.61415741969,0.766666666666667,18,TRUE,0,0,0,1,3,3,0,0,7
"85",494,0.00773067464058341,12,12,12,916.012138575746,0.454545454545455,8,TRUE,0,0,0,3,1,1,5,2,12
"86",78,0.0451909952575961,25,25,25,1689.42749078848,0.516666666666667,16,TRUE,0,0,0,11,1,3,9,30,54
"87",11493,0.0728330497291392,71,71,71,9994.09877998374,0.323138832997988,31,TRUE,0,0,0,104,10,6,29,643,792
"88",40791,0.0214738344492018,10,10,10,6.64814681810784,0.866666666666667,10,TRUE,0,0,0,6,0,0,11,8,25
"89",146214,0.156117898475918,451,451,451,360140.705155512,0.0405814239960581,36,TRUE,0,0,0,45,1,188,262,1060,1556
"90",342191,0.00476889134174271,4,4,4,0,1,4,TRUE,0,0,0,1,3,4,0,1,9
"91",3192,0.00666504247741146,8,8,8,51.0714895551482,0.678571428571429,8,TRUE,0,0,0,5,0,1,4,17,27
"92",11571,0.0193920363309603,29,29,29,3358.4415843694,0.352216748768473,16,TRUE,0,0,0,6,1,0,5,21,33
"93",233615,0.0398679954749253,34,34,34,8620.79590776996,0.433155080213904,18,TRUE,0,0,0,7,2,15,2,3,29
"94",3313,0.00128894590609667,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,1,2
"95",269,0.00182551038342375,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,2,3
"96",1016,0.0110258081490534,29,29,29,965.854785526937,0.460591133004926,18,TRUE,0,0,0,5,0,2,3,6,16
